"BV","BTC_C"
22.29,8065
5.61,7970
7.87,7978
12.18,7961
18.07,7900
6.31,7920
9.71,7979
8.53,7900
3.15,7908
5.3,7975
11.87,7861
17.13,7820
12.58,7848
9.51,7850
6.58,7855
5.07,7919
7.01,7925
2.84,7898
11.65,7682
20.81,7624
15.03,7515
15.57,7492
21.34,7607
17.65,7578
9.41,7643
11.22,7543
4.97,7511
7.71,7560
5.2,7571
6.58,7559
6.47,7618
6.01,7703
3.75,7651
4.04,7648
5.12,7544
14.04,7401
12.43,7371
9.11,7349
2.9,7360
13.98,7520
10.26,7462
8.72,7505
10.75,7567
13.78,7481
8.03,7517
9.06,7565
11.96,7602
5.58,7510
12.16,7527
7.31,7566
2.95,7588
2.42,7535
4.35,7523
4.29,7594
4.01,7615
2.65,7565
2.73,7610
3.73,7475
5.1,7425
9.88,7450
2.94,7418
4.95,7369
10.16,7470
11.28,7519
3.69,7473
3.32,7466
3.69,7488
5,7466
2.04,7410
2.88,7422
3.32,7423
1.78,7449
2.25,7436
1.96,7384
8.29,7472
1.2,7413
6.94,7445
1.83,7413
2.52,7400
2.8,7393
6.6,7421
6.89,7449
3.1,7547
4.61,7521
8.88,7572
3.29,7521
2.16,7538
7.13,7500
8.49,7545
1.47,7501
2.79,7550
3.63,7507
1.76,7572
3.17,7560
1.29,7526
1.55,7531
5.63,7465
3.49,7325
4.9,7330
2.4,7270
3.4,7296
4.46,7300
1.31,7320
1.78,7280
3.89,7266
1.46,7292
1.44,7307
3.71,7283
6.12,7286
5.58,7306
15.38,7319
3.24,7281
4.37,7300
2.43,7331
4.76,7359
2.05,7357
2.61,7332
2.48,7297
6.26,7269
2.65,7324
4.04,7317
8.66,7349
1.73,7375
1.94,7386
4.65,7399
6.41,7390
2,7375
4.75,7302
8.86,7163
7.64,7201
3.42,7230
25.56,7241
5.97,7202
8.68,7200
6.4,7186
21.99,7292
3.86,7273
6.43,7262
7.39,7237
2.58,7200
6.58,7217
3.98,7180
1.83,7248
5.23,7192
4.66,7128
7.43,7127
16.36,7083
4.1,7141
9.7,7080
4.29,7092
6.87,7115
8.45,7099
3.68,7100
4.62,7085
8.04,7160
6.98,7124
6.69,7135
28.15,7179
9.03,7396
10.44,7400
9.93,7434
7.29,7450
5.14,7425
4.62,7440
4.03,7513
7.88,7428
4.96,7475
5.83,7515
8.67,7475
3.15,7400
3.46,7450
2.82,7500
9.15,7526
3.52,7530
4.29,7465
4.84,7496
4.68,7499
4.69,7429
6.2,7461
2.71,7455
3.96,7470
7.83,7500
4.9,7549
1.84,7516
3.5,7522
5.46,7365
12.31,7329
2.96,7280
3.56,7309
7.86,7315
1.83,7316
6.32,7370
4.74,7371
6.31,7350
10.41,7417
3.1,7380
2.67,7318
2.86,7368
3.59,7362
2.14,7491
2.62,7496
7.85,7560
5.18,7541
5.1,7550
10.48,7520
4.97,7550
2.04,7532
5.24,7528
4.34,7518
8.26,7542
7.77,7575
22.19,7558
5.74,7576
15.2,7561
4.59,7532
2.42,7556
4.53,7558
7.17,7423
3.96,7500
1.66,7536
3.16,7475
5.13,7492
7.11,7490
4.18,7453
1.75,7502
3.9,7540
7.14,7585
4.32,7598
5.27,7565
4.01,7540
2.77,7370
5.89,7390
3.81,7396
9.93,7444
4.3,7415
3.35,7451
5.79,7417
3.68,7390
12.63,7435
4.49,7434
2.48,7430
6.49,7501
1.33,7530
5.18,7450
6.16,7475
5.75,7500
1.2,7488
3.99,7490
3.48,7520
3.07,7666
5.67,7643
7.79,7652
4.96,7647
1.08,7642
4.03,7646
6.2,7650
4.45,7640
3.43,7640
4.88,7625
3.37,7622
10.87,7640
7.85,7660
3.07,7670
5.26,7625
10.7,7644
11.57,7635
4.11,7650
7.77,7655
3.74,7661
5.6,7650
3.26,7657
3.35,7627
7,7650
4.4,7720
2.91,7694
18.56,7750
9.75,7745
3.36,7704
6.88,7713
13.04,7733
4.2,7728
18.97,7708
2.82,7713
3.4,7720
3.86,7694
5.83,7679
8.96,7680
12.56,7721
23.18,7683
11.74,7700
4.01,7692
32.49,7725
2.95,7712
4.91,7715
2.31,7665
5.56,7699
1.63,7643
10.3,7574
5.53,7584
4.15,7602
5.94,7602
26.28,7582
7.34,7497
4.91,7527
7.24,7495
5.25,7476
2.69,7503
3.5,7493
1.3,7476
3.58,7513
3.26,7486
2.6,7542
9.36,7559
1.91,7518
2.61,7509
4.94,7517
6.64,7472
3.95,7416
11.24,7386
1.59,7366
2.06,7433
6.84,7416
8.13,7393
5.32,7468
1.9,7425
3.51,7403
2.81,7430
4.98,7421
1.82,7359
3.25,7404
2.57,7580
3.24,7567
2.33,7632
3.35,7633
4.29,7614
4.58,7650
3.81,7593
3.62,7624
6.26,7612
4.66,7626
7.93,7638
5.44,7627
3.39,7614
2.41,7604
6.91,7602
4.89,7643
2.93,7632
4.61,7614
2.49,7572
5.99,7625
15.42,7619
5.87,7653
4.96,7647
3.4,7636
7.58,7668
14.87,7530
3.87,7528
3.66,7522
6.84,7534
3.71,7613
8.3,7658
2.51,7650
5.63,7648
3.64,7735
6.3,7700
5.15,7733
2.11,7718
4.06,7688
2.48,7702
4.18,7744
4.02,7725
3.27,7707
3.05,7688
11.31,7700
3.43,7694
6.86,7730
2.79,7708
3.76,7700
3.47,7677
5.18,7707
4.8,7694
20.2,7712
3.8,7698
3.5,7660
3.98,7678
7.64,7657
4.07,7679
4.47,7684
1.61,7670
6.13,7672
4.62,7640
2.45,7601
3.95,7624
1.27,7650
4.02,7633
4.84,7611
2.9,7620
6.78,7569
3.12,7565
8.45,7585
11.08,7576
3.33,7599
12.29,7620
8.83,7651
1.5,7658
3.73,7644
5.09,7661
8.01,7640
3.68,7649
3.28,7642
3.3,7636
4.38,7642
3.39,7655
2.61,7671
1.49,7668
2.26,7647
2.67,7666
8.75,7674
7.38,7641
3.58,7615
1.47,7606
3.63,7635
11.46,7626
3.88,7623
2.16,7585
3.61,7598
2.6,7610
4.74,7585
4.75,7612
1.44,7590
14.68,7593
2.82,7618
14.38,7621
8.16,7590
1.66,7515
8.65,7279
12.63,7322
2.13,7320
1.96,7274
3.85,7291
2.72,7276
1.09,7310
2.98,7175
4.85,7193
4.35,7245
5.06,7239
10.26,7207
1.77,7237
2.78,7289
4.5,7242
3.56,7240
2.35,7207
17.1,6736
27.85,6765
10.92,6840
10.49,6706
17.29,6721
13.86,6680
10.15,6764
11.39,6722
3.67,6750
11.39,6796
3.86,6776
12.09,6782
10.73,6757
5.7,6730
9.05,6650
6.44,6780
7.81,6759
3.28,6760
4.36,6782
2.87,6777
3.51,6756
16.51,6699
8.01,6685
9.32,6717
7.05,6708
8.55,6752
5.31,6759
8.64,6750
5.86,6760
7.9,6764
7.39,6877
5.52,6841
7.9,6850
7.29,6824
9.46,6800
8.57,6800
7.33,6845
4.11,6835
8.66,6830
4.68,6855
9.03,6842
6.45,6828
6.16,6835
9.92,6719
8.78,6730
8.33,6755
9.13,6743
2.82,6716
7.33,6715
14.38,6676
24.22,6505
11.8,6516
5.79,6534
11.39,6519
6.76,6542
7.38,6555
9.94,6520
17.64,6569
4.06,6528
5.85,6564
7.04,6570
2.39,6558
1.43,6509
9.77,6523
167.75,6370
94.61,6429
16.29,6438
8.52,6440
4.38,6440
19.94,6423
9.75,6389
18.13,6255
21.22,6301
13.78,6310
10.59,6251
16.62,6254
8.73,6285
9.45,6315
33.23,6295
4.61,6270
8.16,6304
25.57,6469
5.37,6488
6.12,6466
8.53,6470
48.88,6469
10.46,6485
47.2,6499
9.4,6495
6.13,6486
10.75,6540
5.27,6500
10.12,6362
2.43,6416
4.13,6330
17.97,6506
9.06,6620
11.03,6630
5.84,6637
4.05,6650
5,6615
4.16,6609
5.25,6626
5.15,6610
3.94,6579
4.06,6595
2.14,6617
2.07,6540
2.27,6564
1.59,6564
8.06,6576
3.64,6609
6.28,6570
7.49,6553
5.12,6522
2.49,6475
2.4,6499
5.26,6513
2.93,6543
3.28,6562
5.1,6540
1.49,6529
5.5,6558
2.19,6495
2.84,6475
4.65,6398
8.93,6391
3.61,6400
3.52,6450
1.91,6444
2.55,6420
5.02,6400
4.55,6480
2.74,6448
11.08,6443
2.33,6448
1.4,6472
2.11,6447
1.49,6436
3.41,6430
2.39,6409
1.29,6400
12.56,6351
8.11,6515
1.04,6520
2.02,6518
1.22,6491
14.64,6527
2.71,6526
5.08,6526
4.9,6490
2.12,6494
2.85,6497
1.58,6521
1.29,6526
1.12,6537
0.87,6525
1.73,6498
1.48,6520
3.32,6514
2.3,6549
1.78,6492
1.64,6500
3.17,6450
9.2,6473
2.22,6460
2.27,6499
1.92,6490
1.7,6504
1.42,6514
6.35,6527
1.79,6484
4.26,6477
3.76,6505
4.15,6417
4.85,6393
1.66,6430
1.72,6450
1.83,6415
3.08,6393
6.56,6420
14.03,6434
1.79,6434
4.82,6458
2.35,6471
5.74,6413
8.67,6410
1.54,6430
2.87,6455
7.11,6453
3.06,6463
6.21,6630
4.36,6729
3.1,6706
8.66,6692
2.49,6720
3.76,6721
2.18,6695
4.92,6693
1.76,6740
6.8,6733
9.9,6668
30.81,6663
2.66,6699
4.3,6692
6.39,6663
6.18,6705
4.43,6715
5.23,6713
3.04,6703
4.83,6745
13.53,6770
12,6754
4.93,6718
3.72,6755
5.44,6691
24.42,6719
7.24,6701
9.58,6742
4.05,6699
4.73,6706
4.19,6725
3.01,6733
7.37,6640
15.42,6604
4.26,6599
5.71,6590
2.56,6589
5.46,6592
7.49,6601
5.89,6637
16.33,6616
1.64,6656
2.92,6626
8.02,6616
2.78,6600
8.73,6741
9.74,6762
6.02,6762
1.9,6741
3.62,6740
2.98,6735
7.18,6756
3.46,6748
6.47,6710
3.62,6717
2.9,6765
1.89,6774
6.25,6768
8.23,6789
2.02,6767
3.62,6762
6.56,6766
2.5,6749
4.96,6760
3.09,6710
36.87,6717
6.76,6735
4.61,6736
2.71,6704
5.11,6713
3.94,6707
10.03,6725
2.08,6710
3.12,6700
5.91,6686
15.93,6691
5.36,6698
9.51,6690
2.39,6730
3.49,6701
4.11,6730
6.08,6643
7.13,6662
4.23,6662
4.25,6654
5.96,6651
9.71,6640
29.68,6515
4.71,6408
5.44,6302
8.4,6369
3.97,6355
4.74,6310
24.96,6130
5.88,6200
7.85,6136
8.19,6180
6,6136
6.61,6225
3.4,6208
3.51,6085
36.39,6002
14.69,6070
9.62,6049
6.86,6140
7.31,6134
4.18,6137
6.8,6113
3.21,6105
3.35,6092
5.73,6050
